Name,Code,Changes,lat,lon,terminal lat,terminal lon,linear distance
Abbey Wood,ABW,0.0,51.4910605627019,0.121394025366647,51.51349214773037,-0.11436054290620458
Aber,ABE,1.0,51.5749691125956,-3.22982905106563,51.51349214773037,-0.11436054290620458
Abercynon,ACY,1.0,51.6447124034837,-3.32698855170195,51.51349214773037,-0.11436054290620458
Aberdare,ABA,1.0,51.7150618291708,-3.44308409477462,51.51349214773037,-0.11436054290620458
Aberdeen,ABD,0.0,57.1437058328662,-2.09868538622245,51.51349214773037,-0.11436054290620458
Aberdour,AUR,1.0,56.0545955695197,-3.30056061487314,51.51349214773037,-0.11436054290620458
Aberdovey,AVY,1.0,52.5439615025967,-4.05706796158074,51.51349214773037,-0.11436054290620458
Abererch,ABH,1.0,52.8985884658899,-4.37417647351973,51.51349214773037,-0.11436054290620458
Abergavenny,AGV,1.0,51.8166930409601,-3.00964730040687,51.51349214773037,-0.11436054290620458
Abergele & Pensarn,AGL,1.0,53.2945771647609,-3.58262268840784,51.51349214773037,-0.11436054290620458
Aberystwyth,AYW,1.0,52.4140498933205,-4.08189442746786,51.51349214773037,-0.11436054290620458
Accrington,ACR,1.0,53.7529733751372,-2.36954810226505,51.51349214773037,-0.11436054290620458
Achanalt,AAT,2.0,57.6096018732679,-4.91385256332031,51.51349214773037,-0.11436054290620458
Achnasheen,ACN,2.0,57.5792959197415,-5.07233352893289,51.51349214773037,-0.11436054290620458
Achnashellach,ACH,2.0,57.4820809030767,-5.33305678830677,51.51349214773037,-0.11436054290620458
Acklington,ACK,1.0,55.3070993237817,-1.65183479633575,51.51349214773037,-0.11436054290620458
Acle,ACL,1.0,52.6346777628319,1.54391497575916,51.51349214773037,-0.11436054290620458
Acocks Green,ACG,1.0,52.4493240670217,-1.81897562150643,51.51349214773037,-0.11436054290620458
Acton Bridge (Cheshire),ACB,1.0,53.2665097605329,-2.60312690733168,51.51349214773037,-0.11436054290620458
Acton Central,ACC,1.0,51.5087150057177,-0.262970693276422,51.51349214773037,-0.11436054290620458
Acton Main Line,AML,0.0,51.5171788796431,-0.266756440210259,51.51349214773037,-0.11436054290620458
Adderley Park,ADD,1.0,52.4830872932844,-1.85594463679675,51.51349214773037,-0.11436054290620458
Addiewell,ADW,1.0,55.8434130805542,-3.60652712168835,51.51349214773037,-0.11436054290620458
Addlestone,ASN,0.0,51.3730447500684,-0.48445679693337,51.51349214773037,-0.11436054290620458
Adisham,ADM,0.0,51.2411978022143,1.19908904695378,51.51349214773037,-0.11436054290620458
Adlington (Cheshire),ADC,1.0,53.3195557900317,-2.13356274381038,51.51349214773037,-0.11436054290620458
Adlington (Lancs),ADL,1.0,53.6132468473224,-2.6030711963325,51.51349214773037,-0.11436054290620458
Adwick,AWK,1.0,53.5723210050351,-1.180356329611,51.51349214773037,-0.11436054290620458
Aigburth,AIG,2.0,53.3645680055959,-2.92715540113816,51.51349214773037,-0.11436054290620458
Ainsdale,ANS,2.0,53.6020355257546,-3.04265252059266,51.51349214773037,-0.11436054290620458
Aintree,AIN,2.0,53.4739127558616,-2.95628079876913,51.51349214773037,-0.11436054290620458
Airbles,AIR,1.0,55.7828378389089,-3.99419330717581,51.51349214773037,-0.11436054290620458
Airdrie,ADR,1.0,55.8639835131324,-3.98291292517007,51.51349214773037,-0.11436054290620458
Albany Park,AYP,0.0,51.4354507399114,0.12573706592842,51.51349214773037,-0.11436054290620458
Albrighton,ALB,1.0,52.6379442676754,-2.26890024505565,51.51349214773037,-0.11436054290620458
Alderley Edge,ALD,1.0,53.3037821045932,-2.23679936267512,51.51349214773037,-0.11436054290620458
Aldermaston,AMT,0.0,51.4019618556841,-1.1374239270022,51.51349214773037,-0.11436054290620458
Aldershot,AHT,0.0,51.2464179114788,-0.759859888333875,51.51349214773037,-0.11436054290620458
Aldrington,AGT,1.0,50.8363824121951,-0.183821512855377,51.51349214773037,-0.11436054290620458
Alexandra Palace,AAP,0.0,51.5979224924556,-0.120235220128854,51.51349214773037,-0.11436054290620458
Alexandra Parade,AXP,2.0,55.8631759802332,-4.21064896878422,51.51349214773037,-0.11436054290620458
Alexandria,ALX,2.0,55.9850887680667,-4.57748537031666,51.51349214773037,-0.11436054290620458
Alfreton,ALF,0.0,53.1004322999438,-1.36969621564025,51.51349214773037,-0.11436054290620458
Allens West,ALW,1.0,54.5246233650745,-1.36111683481751,51.51349214773037,-0.11436054290620458
Alloa,ALO,1.0,56.1177936041036,-3.79005640302655,51.51349214773037,-0.11436054290620458
Alness,ASS,1.0,57.6943991747966,-4.24971726526612,51.51349214773037,-0.11436054290620458
Alnmouth,ALM,0.0,55.3927786386397,-1.63663783937358,51.51349214773037,-0.11436054290620458
Alresford (Essex),ALR,0.0,51.8539974379073,0.997436403040026,51.51349214773037,-0.11436054290620458
Alsager,ASG,0.0,53.0930054110113,-2.29905784069112,51.51349214773037,-0.11436054290620458
Althorne (Essex),ALN,0.0,51.6478675266105,0.75248341471277,51.51349214773037,-0.11436054290620458
Althorpe,ALP,1.0,53.5855003548442,-0.733182290833722,51.51349214773037,-0.11436054290620458
Altnabreac,ABC,2.0,58.3881525009701,-3.7062809681672,51.51349214773037,-0.11436054290620458
Alton,AON,0.0,51.1519686627366,-0.966913302570746,51.51349214773037,-0.11436054290620458
Altrincham,ALT,1.0,53.3877187203289,-2.34688910433965,51.51349214773037,-0.11436054290620458
Alvechurch,ALV,1.0,52.3460721156993,-1.96766073187852,51.51349214773037,-0.11436054290620458
