Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Bentley (Hants),BTY,2.0
Bentley (South Yorks),BYK,1.0
Bere Alston,BAS,2.0
Bere Ferrers,BFE,2.0
Berkhamsted,BKM,1.0
Berkswell,BKW,1.0
Bermuda Park,BEP,1.0
Berney Arms,BYA,nan
Berry Brow,BBW,2.0
Berrylands,BRS,2.0
Berwick (Sussex),BRK,2.0
Berwick-upon-Tweed,BWK,1.0
Bescar Lane,BES,2.0
Bescot Stadium,BSC,1.0
Betchworth,BTO,2.0
Bethnal Green,BET,2.0
Betws-y-Coed,BYC,2.0
Beverley,BEV,2.0
Bexhill,BEX,2.0
Bexley,BXY,2.0
Bexleyheath,BXH,2.0
Bicester North,BCS,2.0
Bicester Village,BIT,2.0
Bickley,BKL,2.0
Bidston,BID,1.0
Biggleswade,BIW,2.0
Bilbrook,BBK,1.0
Billericay,BIC,2.0
Billingham (Cleveland),BIL,2.0
Billingshurst,BIG,2.0
Bingham,BIN,1.0
Bingley,BIY,1.0
Birchgrove,BCG,2.0
Birchington-on-sea,BCH,2.0
Birchwood,BWD,1.0
Birkbeck,BIK,2.0
Birkdale,BDL,2.0
Birkenhead Central,BKC,1.0
Birkenhead Hamilton Square,BKQ,1.0
Birkenhead North,BKN,1.0
Birkenhead Park,BKP,1.0
Birmingham International,BHI,0.0
Birmingham Moor Street,BMO,1.0
Birmingham New Street,BHM,0.0
Birmingham Snow Hill,BSW,1.0
Bishop Auckland,BIA,2.0
Bishopbriggs,BBG,2.0
Bishops Stortford,BIS,2.0
Bishopstone (Sussex),BIP,2.0
Bishopton (Strathclyde),BPT,1.0
Bitterne,BTE,2.0
Blackburn,BBN,0.0
Blackheath,BKH,2.0
Blackhorse Road,BHO,1.0
Blackpool North,BPN,0.0
Blackpool Pleasure Beach,BPB,0.0
Blackpool South,BPS,0.0
Blackridge,BKR,1.0
Blackrod,BLK,0.0
Blackwater,BAW,2.0
Blaenau Ffestiniog,BFF,2.0
Blair Atholl,BLA,1.0
Blairhill,BAI,1.0
Blake Street,BKT,1.0
Blakedown,BKD,2.0
Blantyre,BLT,1.0
Blaydon,BLO,1.0
Bleasby,BSB,2.0
Bletchley,BLY,1.0
Bloxwich,BLX,1.0
Bloxwich North,BWN,1.0
Blundellsands & Crosby,BLN,2.0
Blythe Bridge,BYB,1.0
Bodmin Parkway,BOD,1.0
Bodorgan,BOR,1.0
Bognor Regis,BOG,2.0
Bogston,BGS,1.0
Bolton,BON,0.0
Bolton-Upon-Dearne,BTD,1.0
Bookham,BKA,2.0
Bootle (Cumbria),BOC,0.0
Bootle New Strand,BNW,2.0
Bootle Oriel Road,BOT,2.0
Bordesley,BBS,2.0
Borough Green & Wrotham,BRG,2.0
Borth,BRH,1.0
Bosham,BOH,2.0
Boston,BSN,2.0
Botley,BOE,2.0
Bottesford,BTF,2.0
Bourne End,BNE,2.0
Bournemouth,BMH,1.0
Bournville,BRV,1.0
Bow Brickhill,BWB,2.0
Bowes Park,BOP,2.0
Bowling,BWG,2.0
Box Hill & Westhumble,BXW,2.0
Bracknell,BCE,2.0
Bradford Forster Square,BDQ,1.0
Bradford Interchange,BDI,0.0
Bradford-on-Avon,BOA,2.0
Brading,BDN,2.0
Braintree,BTR,2.0
Braintree Freeport,BTP,2.0
Bramhall,BML,1.0
Bramley (Hants),BMY,2.0
Bramley (W Yorks),BLE,1.0
Brampton (Cumbria),BMP,1.0
Brampton (Suffolk),BRP,2.0
Branchton,BCN,1.0
Brandon,BND,2.0
Branksome,BSM,2.0
Braystones (Cumbria),BYS,0.0
Bredbury,BDY,1.0
Breich,BRC,1.0
Brentford,BFD,2.0
Brentwood,BRE,2.0
Bricket Wood,BWO,1.0
Bridge of Allan,BEA,1.0
Bridge of Orchy,BRO,2.0
Bridgend,BGN,1.0
Bridgeton,BDG,1.0
Bridgwater,BWT,2.0
Bridlington,BDT,2.0
Brierfield,BRF,0.0
Brigg,BGG,2.0
Brighouse,BGH,1.0
Brighton (East Sussex),BTN,2.0
Brimsdown,BMD,2.0
Brinnington,BNT,1.0
Bristol Parkway,BPW,1.0
Bristol Temple Meads,BRI,1.0
Brithdir,BHD,2.0
Briton Ferry,BNF,1.0
Brixton,BRX,2.0
Broad Green,BGE,0.0
Broadbottom,BDB,1.0
Broadstairs,BSR,2.0
Brockenhurst,BCU,1.0
Brockholes,BHS,2.0
Brockley,BCY,2.0
Bromborough,BOM,1.0
Bromborough Rake,BMR,1.0
Bromley Cross (Lancs),BMC,1.0
Bromley North,BMN,2.0
Bromley South,BMS,2.0
Bromsgrove,BMV,1.0
Brondesbury,BSY,2.0
Brondesbury Park,BSP,2.0
Brookmans Park,BPK,2.0
Brookwood,BKO,2.0
Broome,BME,1.0
Broomfleet,BMF,1.0
Brora,BRA,2.0
Brough,BUH,1.0
Broughty Ferry,BYF,1.0
Broxbourne,BXB,2.0
Bruce Grove,BCV,2.0
Brundall,BDA,2.0
Brundall Gardens,BGA,2.0
Brunstane,BSU,1.0
Brunswick,BRW,1.0
Bruton,BRU,2.0
Bryn,BYN,0.0
Buckenham (Norfolk),BUC,nan
Buckley,BCK,2.0
Bucknell,BUK,1.0
Buckshaw Parkway,BSV,0.0
Bugle,BGL,2.0
Builth Road,BHR,1.0
Bulwell,BLW,2.0
Bures,BUE,2.0
Burgess Hill,BUG,2.0
Burley Park,BUY,1.0
Burley-in-Wharfedale,BUW,1.0
Burnage,BNA,0.0
Burneside (Cumbria),BUD,0.0
Burnham (Bucks),BNM,2.0
Burnham-on-Crouch,BUU,2.0
Burnley Barracks,BUB,0.0
Burnley Central,BNC,0.0
Burnley Manchester Road,BYM,0.0
Burnside (Strathclyde),BUI,1.0
Burntisland,BTS,1.0
Burscough Bridge,BCB,1.0
Burscough Junction,BCJ,0.0
Bursledon,BUO,2.0
Burton Joyce,BUJ,2.0
Burton-on-Trent,BUT,1.0
Bury St Edmunds,BSE,2.0
Busby,BUS,1.0
Bush Hill Park,BHK,2.0
Bushey,BSH,1.0
Butlers Lane,BUL,1.0
Buxted,BXD,2.0
Buxton,BUX,1.0
Byfleet & New Haw,BFN,2.0
Bynea,BYE,1.0
Cadoxton,CAD,2.0
Caergwrle,CGW,2.0
Caerphilly,CPH,2.0
Caersws,CWS,1.0
Caldercruix,CAC,1.0
Caldicot,CDT,1.0
Caledonian Rd & Barnsbury,CIR,2.0
Calstock,CSK,2.0
Cam & Dursley,CDU,2.0
Camberley,CAM,2.0
Camborne,CBN,1.0
Cambridge,CBG,1.0
Cambridge Heath,CBH,2.0
Cambuslang,CBL,1.0
Camden Road,CMD,2.0
Camelon,CMO,1.0
Canada Water,ZCW,2.0
Canley,CNL,1.0
Cannock,CAO,1.0
Canonbury,CNN,2.0
Canterbury East,CBE,2.0
Canterbury West,CBW,2.0
Cantley,CNY,2.0
Capenhurst,CPU,1.0
Carbis Bay,CBB,2.0
Cardenden,CDD,1.0
Cardiff Bay,CDB,2.0
Cardiff Central,CDF,1.0
Cardiff Queen Street,CDQ,2.0
Cardonald,CDO,1.0
Cardross,CDR,1.0
Carfin,CRF,1.0
Cark & Cartmel,CAK,0.0
Carlisle,CAR,0.0
Carlton,CTO,2.0
Carluke,CLU,1.0
Carmarthen,CMN,1.0
Carmyle,CML,1.0
Carnforth,CNF,0.0
Carnoustie,CAN,1.0
Carntyne,CAY,1.0
Carpenders Park,CPK,1.0
Carrbridge,CAG,1.0
Carshalton,CSH,2.0
Carshalton Beeches,CSB,2.0
Carstairs,CRS,1.0
Cartsdyke,CDY,1.0
Castle Bar Park,CBP,2.0
Castle Cary,CLC,2.0
Castleford,CFD,1.0
Castleton (Manchester),CAS,1.0
Castleton Moor,CSM,2.0
Caterham,CAT,2.0
Catford,CTF,2.0
Catford Bridge,CFB,2.0
Cathays,CYS,2.0
Cathcart,CCT,1.0
Cattal,CTL,1.0
Causeland,CAU,2.0
Cefn-y-Bedd,CYB,2.0
Chadwell Heath,CTH,2.0
Chafford Hundred Lakeside,CFH,2.0
Chalfont & Latimer,CFO,2.0
Chalkwell,CHW,2.0
Chandlers Ford,CFR,2.0
Chapel-en-le-Frith,CEF,1.0
Chapelton (Devon),CPN,2.0
Chapeltown (South Yorks),CLN,1.0
Chappel & Wakes Colne,CWC,2.0
Charing (Kent),CHG,2.0
Charing Cross (Glasgow),CHC,2.0
Charlbury,CBY,2.0
Charlton,CTN,2.0
Chartham,CRT,2.0
Chassen Road,CSR,1.0
Chatelherault,CTE,1.0
Chatham,CTM,2.0
Chathill,CHT,2.0
Cheadle Hulme,CHU,1.0
Cheam,CHE,2.0
Cheddington,CED,1.0
Chelford (Cheshire),CEL,1.0
Chelmsford,CHM,2.0
Chelsfield,CLD,2.0
Cheltenham Spa,CNM,1.0
Chepstow,CPW,1.0
Cherry Tree,CYT,0.0
Chertsey,CHY,2.0
Cheshunt,CHN,2.0
Chessington North,CSN,2.0
Chessington South,CSS,2.0
Chester,CTR,1.0
Chester Road,CRD,1.0
Chesterfield,CHD,1.0
Chester-le-Street,CLS,1.0
Chestfield & Swalecliffe,CSW,2.0
Chetnole,CNO,2.0
Chichester,CCH,2.0
Chilham,CIL,2.0
Chilworth,CHL,2.0
Chingford,CHI,2.0
Chinley,CLY,1.0
Chippenham,CPM,2.0
Chipstead,CHP,2.0
Chirk,CRK,2.0
Chislehurst,CIT,2.0
Chiswick,CHK,2.0
Cholsey,CHO,2.0
Chorley,CRL,0.0
Chorleywood,CLW,2.0
Christchurch,CHR,2.0
Christs Hospital,CHH,2.0
Church & Oswaldtwistle,CTW,0.0
Church Fenton,CHF,0.0
Church Stretton,CTT,1.0
Cilmeri,CIM,1.0
City Thameslink,CTK,2.0
Clacton-on-Sea,CLT,2.0
Clandon,CLA,2.0
Clapham (North Yorkshire),CPY,1.0
Clapham High Street,CLP,2.0
Clapham Junction,CLJ,1.0
Clapton,CPT,2.0
Clarbeston Road,CLR,1.0
Clarkston,CKS,1.0
Claverdon,CLV,2.0
Claygate,CLG,2.0
Cleethorpes,CLE,1.0
Cleland,CEA,1.0
Clifton (Manchester),CLI,1.0
Clifton Down,CFN,2.0
Clitheroe,CLH,1.0
Clock House,CLK,2.0
Clunderwen,CUW,1.0
Clydebank,CYK,1.0
Coatbridge Central,CBC,1.0
Coatbridge Sunnyside,CBS,1.0
Coatdyke,COA,1.0
Cobham & Stoke d'Abernon,CSD,2.0
Codsall,CSL,1.0
Cogan,CGN,2.0
Colchester,COL,2.0
Colchester Town,CET,2.0
