Name,Code,"Changes (-1 means terminus, NaN means 2+ changes)"
Bermuda Park,BEP,nan
Berney Arms,BYA,nan
Berry Brow,BBW,1.0
Berrylands,BRS,nan
Berwick (Sussex),BRK,nan
Berwick-upon-Tweed,BWK,1.0
Bescar Lane,BES,0.0
Bescot Stadium,BSC,1.0
Betchworth,BTO,1.0
Bethnal Green,BET,nan
Betws-y-Coed,BYC,1.0
Beverley,BEV,1.0
Bexhill,BEX,nan
Bexley,BXY,nan
Bexleyheath,BXH,nan
Bicester North,BCS,1.0
Bicester Village,BIT,1.0
Bickley,BKL,nan
Bidston,BID,1.0
Biggleswade,BIW,nan
Bilbrook,BBK,1.0
Billericay,BIC,nan
Billingham (Cleveland),BIL,1.0
Billingshurst,BIG,nan
Bingham,BIN,0.0
Bingley,BIY,1.0
Birchgrove,BCG,1.0
Birchington-on-sea,BCH,nan
Birchwood,BWD,0.0
Birkbeck,BIK,nan
Birkdale,BDL,1.0
Birkenhead Central,BKC,1.0
Birkenhead Hamilton Square,BKQ,1.0
Birkenhead North,BKN,1.0
Birkenhead Park,BKP,1.0
Birmingham International,BHI,0.0
Birmingham Moor Street,BMO,1.0
Birmingham New Street,BHM,0.0
Birmingham Snow Hill,BSW,1.0
Bishop Auckland,BIA,1.0
Bishopbriggs,BBG,nan
Bishops Stortford,BIS,nan
Bishopstone (Sussex),BIP,nan
Bishopton (Strathclyde),BPT,1.0
Bitterne,BTE,1.0
Blackburn,BBN,0.0
Blackheath,BKH,nan
Blackhorse Road,BHO,1.0
Blackpool North,BPN,0.0
Blackpool Pleasure Beach,BPB,1.0
Blackpool South,BPS,1.0
Blackridge,BKR,1.0
Blackrod,BLK,0.0
Blackwater,BAW,1.0
Blaenau Ffestiniog,BFF,1.0
Blair Atholl,BLA,1.0
Blairhill,BAI,1.0
Blake Street,BKT,1.0
Blakedown,BKD,nan
Blantyre,BLT,1.0
Blaydon,BLO,1.0
Bleasby,BSB,1.0
Bletchley,BLY,1.0
Bloxwich,BLX,1.0
Bloxwich North,BWN,1.0
Blundellsands & Crosby,BLN,nan
Blythe Bridge,BYB,1.0
Bodmin Parkway,BOD,0.0
Bodorgan,BOR,1.0
Bognor Regis,BOG,nan
Bogston,BGS,1.0
Bolton,BON,0.0
Bolton-Upon-Dearne,BTD,1.0
Bookham,BKA,nan
Bootle (Cumbria),BOC,1.0
Bootle New Strand,BNW,nan
Bootle Oriel Road,BOT,nan
Bordesley,BBS,nan
Borough Green & Wrotham,BRG,nan
Borth,BRH,1.0
Bosham,BOH,nan
Boston,BSN,1.0
Botley,BOE,1.0
Bottesford,BTF,0.0
Bourne End,BNE,nan
Bournemouth,BMH,0.0
Bournville,BRV,1.0
Bow Brickhill,BWB,nan
Bowes Park,BOP,nan
Bowling,BWG,nan
Box Hill & Westhumble,BXW,nan
Bracknell,BCE,1.0
Bradford Forster Square,BDQ,1.0
Bradford Interchange,BDI,0.0
Bradford-on-Avon,BOA,1.0
Brading,BDN,nan
Braintree,BTR,nan
Braintree Freeport,BTP,nan
Bramhall,BML,0.0
Bramley (Hants),BMY,1.0
Bramley (W Yorks),BLE,0.0
Brampton (Cumbria),BMP,1.0
Brampton (Suffolk),BRP,nan
Branchton,BCN,1.0
Brandon,BND,1.0
Branksome,BSM,1.0
Braystones (Cumbria),BYS,1.0
Bredbury,BDY,0.0
Breich,BRC,1.0
Brentford,BFD,nan
Brentwood,BRE,nan
Bricket Wood,BWO,nan
Bridge of Allan,BEA,1.0
Bridge of Orchy,BRO,nan
Bridgend,BGN,0.0
Bridgeton,BDG,1.0
Bridgwater,BWT,1.0
Bridlington,BDT,1.0
Brierfield,BRF,1.0
Brigg,BGG,nan
Brighouse,BGH,0.0
Brighton (East Sussex),BTN,nan
Brimsdown,BMD,nan
Brinnington,BNT,0.0
Bristol Parkway,BPW,0.0
Bristol Temple Meads,BRI,0.0
Brithdir,BHD,1.0
Briton Ferry,BNF,0.0
Brixton,BRX,nan
Broad Green,BGE,0.0
Broadbottom,BDB,0.0
Broadstairs,BSR,nan
Brockenhurst,BCU,0.0
Brockholes,BHS,1.0
Brockley,BCY,nan
Bromborough,BOM,1.0
Bromborough Rake,BMR,1.0
Bromley Cross (Lancs),BMC,0.0
Bromley North,BMN,nan
Bromley South,BMS,nan
Bromsgrove,BMV,1.0
Brondesbury,BSY,nan
Brondesbury Park,BSP,nan
Brookmans Park,BPK,nan
Brookwood,BKO,1.0
Broome,BME,1.0
Broomfleet,BMF,1.0
Brora,BRA,nan
Brough,BUH,0.0
Broughty Ferry,BYF,1.0
Broxbourne,BXB,nan
Bruce Grove,BCV,nan
Brundall,BDA,1.0
Brundall Gardens,BGA,1.0
Brunstane,BSU,1.0
Brunswick,BRW,1.0
Bruton,BRU,1.0
Bryn,BYN,1.0
Buckenham (Norfolk),BUC,nan
Buckley,BCK,1.0
Bucknell,BUK,1.0
Buckshaw Parkway,BSV,0.0
Bugle,BGL,nan
Builth Road,BHR,1.0
Bulwell,BLW,1.0
Bures,BUE,nan
Burgess Hill,BUG,nan
Burley Park,BUY,1.0
Burley-in-Wharfedale,BUW,1.0
Burnage,BNA,0.0
Burneside (Cumbria),BUD,0.0
Burnham (Bucks),BNM,1.0
Burnham-on-Crouch,BUU,nan
Burnley Barracks,BUB,1.0
Burnley Central,BNC,1.0
Burnley Manchester Road,BYM,0.0
Burnside (Strathclyde),BUI,1.0
Burntisland,BTS,1.0
Burscough Bridge,BCB,0.0
Burscough Junction,BCJ,1.0
Bursledon,BUO,1.0
Burton Joyce,BUJ,1.0
Burton-on-Trent,BUT,1.0
Bury St Edmunds,BSE,1.0
Busby,BUS,1.0
Bush Hill Park,BHK,nan
Bushey,BSH,1.0
Butlers Lane,BUL,1.0
Buxted,BXD,nan
Buxton,BUX,0.0
Byfleet & New Haw,BFN,nan
Bynea,BYE,1.0
Cadoxton,CAD,1.0
Caergwrle,CGW,1.0
Caerphilly,CPH,1.0
Caersws,CWS,1.0
Caldercruix,CAC,1.0
Caldicot,CDT,1.0
Caledonian Rd & Barnsbury,CIR,nan
Calstock,CSK,nan
Cam & Dursley,CDU,1.0
Camberley,CAM,nan
Camborne,CBN,0.0
Cambridge,CBG,1.0
Cambridge Heath,CBH,nan
Cambuslang,CBL,1.0
Camden Road,CMD,nan
Camelon,CMO,1.0
Canada Water,ZCW,nan
Canley,CNL,1.0
Cannock,CAO,1.0
Canonbury,CNN,nan
Canterbury East,CBE,nan
Canterbury West,CBW,nan
Cantley,CNY,1.0
Capenhurst,CPU,1.0
Carbis Bay,CBB,nan
Cardenden,CDD,1.0
Cardiff Bay,CDB,nan
Cardiff Central,CDF,0.0
Cardiff Queen Street,CDQ,1.0
Cardonald,CDO,1.0
Cardross,CDR,1.0
Carfin,CRF,1.0
Cark & Cartmel,CAK,0.0
Carlisle,CAR,0.0
Carlton,CTO,1.0
Carluke,CLU,1.0
Carmarthen,CMN,0.0
Carmyle,CML,1.0
Carnforth,CNF,0.0
Carnoustie,CAN,1.0
Carntyne,CAY,1.0
Carpenders Park,CPK,1.0
Carrbridge,CAG,1.0
Carshalton,CSH,nan
Carshalton Beeches,CSB,nan
Carstairs,CRS,1.0
Cartsdyke,CDY,1.0
Castle Bar Park,CBP,nan
Castle Cary,CLC,1.0
Castleford,CFD,1.0
Castleton (Manchester),CAS,0.0
Castleton Moor,CSM,1.0
Caterham,CAT,nan
Catford,CTF,nan
Catford Bridge,CFB,nan
Cathays,CYS,1.0
Cathcart,CCT,1.0
Cattal,CTL,1.0
Causeland,CAU,nan
Cefn-y-Bedd,CYB,1.0
Chadwell Heath,CTH,nan
Chafford Hundred Lakeside,CFH,nan
Chalfont & Latimer,CFO,nan
Chalkwell,CHW,nan
Chandlers Ford,CFR,nan
Chapel-en-le-Frith,CEF,0.0
Chapelton (Devon),CPN,1.0
Chapeltown (South Yorks),CLN,1.0
Chappel & Wakes Colne,CWC,nan
Charing (Kent),CHG,nan
Charing Cross (Glasgow),CHC,nan
Charlbury,CBY,1.0
Charlton,CTN,nan
Chartham,CRT,nan
Chassen Road,CSR,0.0
Chatelherault,CTE,1.0
Chatham,CTM,nan
Chathill,CHT,1.0
Cheadle Hulme,CHU,0.0
Cheam,CHE,nan
Cheddington,CED,1.0
Chelford (Cheshire),CEL,0.0
Chelmsford,CHM,nan
Chelsfield,CLD,nan
Cheltenham Spa,CNM,0.0
Chepstow,CPW,1.0
Cherry Tree,CYT,1.0
Chertsey,CHY,nan
Cheshunt,CHN,nan
Chessington North,CSN,nan
Chessington South,CSS,nan
Chester,CTR,0.0
Chester Road,CRD,1.0
Chesterfield,CHD,0.0
Chester-le-Street,CLS,0.0
Chestfield & Swalecliffe,CSW,nan
Chetnole,CNO,1.0
Chichester,CCH,1.0
Chilham,CIL,nan
Chilworth,CHL,1.0
Chingford,CHI,nan
Chinley,CLY,0.0
Chippenham,CPM,1.0
Chipstead,CHP,nan
Chirk,CRK,1.0
Chislehurst,CIT,nan
Chiswick,CHK,nan
Cholsey,CHO,1.0
Chorley,CRL,0.0
Chorleywood,CLW,nan
Christchurch,CHR,1.0
Christs Hospital,CHH,nan
Church & Oswaldtwistle,CTW,1.0
Church Fenton,CHF,1.0
Church Stretton,CTT,0.0
Cilmeri,CIM,1.0
City Thameslink,CTK,nan
Clacton-on-Sea,CLT,nan
Clandon,CLA,nan
Clapham (North Yorkshire),CPY,1.0
Clapham High Street,CLP,nan
Clapham Junction,CLJ,1.0
Clapton,CPT,nan
Clarbeston Road,CLR,0.0
Clarkston,CKS,1.0
Claverdon,CLV,1.0
Claygate,CLG,nan
Cleethorpes,CLE,0.0
Cleland,CEA,1.0
Clifton (Manchester),CLI,0.0
Clifton Down,CFN,1.0
Clitheroe,CLH,0.0
Clock House,CLK,nan
Clunderwen,CUW,0.0
Clydebank,CYK,1.0
Coatbridge Central,CBC,1.0
Coatbridge Sunnyside,CBS,1.0
Coatdyke,COA,1.0
Cobham & Stoke d'Abernon,CSD,nan
Codsall,CSL,1.0
Cogan,CGN,1.0
Colchester,COL,nan
Colchester Town,CET,nan
Coleshill Parkway,CEH,1.0
Collingham,CLM,1.0
Collington,CLL,nan
Colne,CNE,1.0
Colwall,CWL,1.0
Colwyn Bay,CWB,0.0
Combe (Oxon),CME,1.0
Commondale,COM,1.0
Congleton,CNG,0.0
Conisbrough,CNS,1.0
Connel Ferry,CON,nan
Conon Bridge,CBD,nan
Cononley,CEY,1.0
Conway Park,CNP,1.0
Conwy,CNW,0.0
Cooden Beach,COB,nan
Cookham,COO,nan
Cooksbridge,CBR,nan
Coombe Junction Halt,COE,1.0
Copplestone,COP,1.0
Corbridge,CRB,1.0
Corby,COR,nan
Corkerhill,CKH,1.0
Corkickle,CKL,1.0
Corpach,CPA,nan
Corrour,CRR,nan
Coryton,COY,1.0
Coseley,CSY,1.0
Cosford,COS,1.0
Cosham,CSA,1.0
Cottingham,CGM,1.0
Cottingley,COT,0.0
Coulsdon South,CDS,nan
Coulsdon Town,CDN,nan
Coventry,COV,0.0
Coventry Arena,CAA,1.0
Cowden (Kent),CWN,nan
Cowdenbeath,COW,1.0
Cradley Heath,CRA,nan
Craigendoran,CGD,1.0
Cramlington,CRM,1.0
Cranbrook (Devon),CBK,1.0
Craven Arms,CRV,0.0
Crawley,CRW,nan
Crayford,CRY,nan
Crediton,CDI,1.0
Cressing (Essex),CES,nan
Cressington,CSG,1.0
Creswell,CWD,nan
Crewe,CRE,0.0
Crewkerne,CKN,1.0
Crews Hill,CWH,nan
Crianlarich,CNR,nan
