stop_id,stop_name,routes
CNM,"Cheltenham Spa",4
CNR,Crianlarich,2
COB,"Cooden Beach",7
COH,Crowborough,3
COL,Colchester,20
COR,Corby,15
COS,Cosford,2
COV,Coventry,27
COW,Cowdenbeath,7
CPK,"Carpenders Park",2
CPM,Chippenham,19
CPT,Clapton,2
CPW,Chepstow,2
CRA,"Cradley Heath",3
CRE,Crewe,36
CRG,"Cross Gates",1
CRI,Cricklewood,36
CRR,Corrour,2
CRS,Carstairs,17
CRT,Chartham,11
CRW,Crawley,36
CRY,Crayford,25
CSA,Cosham,12
CSB,"Carshalton Beeches",15
CSD,"Cobham & Stoke d'Abernon",6
CSH,Carshalton,24
CSN,"Chessington North",2
CSS,"Chessington South",2
CSW,"Chestfield & Swalecliffe",13
CSY,Coseley,1
CTF,Catford,14
CTH,"Chadwell Heath",4
CTM,Chatham,60
CTN,Charlton,58
CTR,Chester,7
CUF,Cuffley,11
CUM,Culham,1
CUP,Cupar,8
CUX,Cuxton,2
CWB,"Colwyn Bay",3
CWH,"Crews Hill",9
CWL,Colwall,2
CWN,Cowden,3
CWU,Crowhurst,6
CYP,"Crystal Palace",18
DAM,Dalmeny,11
DAR,Darlington,27
DAT,Datchet,2
DBC,"Dumbarton Central",2
DBL,Dunblane,6
DBY,Derby,9
DCH,"Dorchester South",2
DDG,Dorridge,8
DDK,"Dagenham Dock",12
DDP,"Dudley Port",15
DEA,Deal,18
DEE,Dundee,8
DEP,Deptford,51
DFD,Dartford,57
DFE,"Dunfermline Town",7
DGC,"Denham Golf Club",15
DHM,Durham,27
DID,"Didcot Parkway",50
DIS,Diss,2
DKD,"Dunkeld & Birnam",4
DKG,Dorking,8
DLR,Dalreoch,2
DLW,Dalwhinnie,4
DMK,"Denmark Hill",47
DMP,"Dumpton Park",10
DMR,Dalmuir,2
DMS,Dormans,8
DNG,"Dunton Green",12
DNM,Denham,18
DOC,"Dockyard (Plymouth)",1
DON,Doncaster,54
DOW,"Downham Market",4
DPT,Devonport,2
DRG,"Drayton Green",2
DRM,Drem,20
DUN,Dunbar,20
DUR,"Durrington-on-Sea",10
DVC,Dovercourt,2
DVP,"Dover Priory",25
DWL,Dawlish,10
DWW,"Dawlish Warren",10
DYC,Dyce,1
DYP,"Drayton Park",14
EAD,Earlsfield,41
EAG,Eaglescliffe,4
EAL,"Ealing Broadway",73
EAR,Earley,2
EBD,"Ebbsfleet International",25
EBN,Eastbourne,11
EBT,"Edenbridge Town",3
ECR,"East Croydon",129
EDB,Edinburgh,25
EDG,"Edge Hill",2
EDN,"Eden Park",6
EDR,"Edmonton Green",6
EDW,"East Dulwich",23
EFF,"Effingham Junction",12
EGH,Egham,11
EGR,"East Grinstead",8
ELD,"Earlswood (Surrey)",91
ELE,"Elmers End",6
ELG,Elgin,1
ELS,"Elstree & Borehamwood",38
ELW,Eltham,34
ELY,Ely,27
EMD,"East Midlands Parkway",14
EML,"East Malling",8
EMS,Emsworth,12
ENC,"Enfield Chase",13
ENF,"Enfield Town",2
ENL,"Enfield Lock",10
EPD,"Epsom Downs",4
EPH,"Elephant & Castle",42
EPS,Epsom,22
ERH,Erith,18
ERI,Eridge,3
ESD,"Elmstead Woods",12
ESH,Esher,14
ESL,Eastleigh,16
ESM,Elsenham,6
ETC,Etchingham,9
ETL,"East Tilbury",10
EVE,Evesham,10
EWE,"Ewell East",11
EWR,"East Worthing",5
EWW,"Ewell West",10
EXC,"Exeter Central",6
EXD,"Exeter St Davids",14
EXR,"Essex Road",14
EXT,"Exeter St Thomas",2
EYN,Eynsford,4
FAV,Faversham,28
FCN,Falconwood,21
FEL,Feltham,34
FGT,Faygate,4
FIN,Finstock,1
FIT,"Filton Abbey Wood",12
FKC,"Folkestone Central",27
FKG,"Falkirk Grahamston",5
FKW,"Folkestone West",26
FLE,Fleet,21
FLN,Flint,3
FLT,Flitwick,43
FLW,Fulwell,2
FML,Frimley,3
FMR,Falmer,2
FNB,"Farnborough (Main)",38
FNC,Farncombe,19
FNH,Farnham,4
FNR,"Farningham Road",19
FNT,Feniton,2
FOD,Ford,18
FOG,"Forest Gate",38
FOH,"Forest Hill",20
FOR,Forres,1
FPK,"Finsbury Park",123
FRI,"Frinton-on-Sea",2
FRM,Fareham,12
FRO,Frome,12
FRT,Frant,9
FSB,Fishbourne,6
FSG,Fishersgate,4
FSK,Fiskerton,2
FTN,Fratton,12
FTW,"Fort William",2
FXN,Foxton,33
FYS,Ferryside,2
GBD,Gilberdyke,6
GBS,"Goring-by-Sea",10
GCH,Garelochhead,2
GCR,Gloucester,8
GDH,"Gordon Hill",58
GDP,"Gidea Park",35
GER,"Gerrards Cross",28
GFD,Greenford,2
GIL,"Gillingham (Dorset)",11
GIP,"Gipsy Hill",16
GLC,"Glasgow Central",6
GLD,Guildford,24
GLE,Gleneagles,5
GLM,"Gillingham (Kent)",60
GLQ,"Glasgow Queen Street",2
GLT,"Glenrothes with Thornton",7
GLY,Glynde,5
GMN,"Great Missenden",10
GMV,"Great Malvern",4
GMY,Goodmayes,6
GNH,"Greenhithe for Bluewater",38
GNW,Greenwich,51
GOD,Godalming,15
GOR,"Goring & Streatley",50
GPK,"Grange Park",11
GRA,Grantham,55
GRB,"Great Bentley",4
GRC,"Great Chesterford",6
GRP,"Grove Park",54
GRT,Grateley,15
GRV,Gravesend,57
GRY,Grays,12
GTW,"Gatwick Airport",91
GWN,Gowerton,1
HAC,"Hackney Downs",24
HAF,"Heathrow Terminal 4",2
HAG,Hagley,1
HAM,Hamworthy,2
HAN,Hanwell,3
HAP,"Hatfield Peverel",16
HAT,"Hatfield (Herts)",26
HAV,Havant,27
HAY,"Hayes & Harlington",11
HBN,Hollingbourne,6
HCB,Hackbridge,24
HCN,Headcorn,24
HDE,"Hedge End",2
HDG,"Heald Green",1
HDL,"Headstone Lane",2
HDM,"Haddenham & Thame Parkway",20
HDN,Harlesden,2
HDW,"Hadley Wood",7
HEN,Hendon,73
HER,Hersham,13
HEV,Hever,3
HFD,Hereford,2
HFE,"Hertford East",2
HFN,"Hertford North",56
HFX,Halifax,3
HGD,Hungerford,11
HGM,Higham,30
HGR,"Hither Green",81
HGS,Hastings,14
HGT,Harrogate,2
HGY,Harringay,19
HHD,Holyhead,2
HHE,"Haywards Heath",46
HHY,"Highbury & Islington",14
HIA,"Hampton-in-Arden",2
HIB,"High Brooms",13
HIG,"Highbridge & Burnham-on-Sea",5
HIP,"Highams Park",2
HIT,Hitchin,96
HLB,Hildenborough,22
HLM,Holmwood,2
HLN,"Harlington (Beds)",25
HLS,Hilsea,8
HLU,"Helensburgh Upper",2
HLY,Holytown,2
HMC,"Hampton Court",2
HMD,"Hampden Park (Sussex)",11
HME,Hamble,1
HML,"Hemel Hempstead",13
HMP,"Hampton (London)",2
HMW,"Hampton Wick",17
HNA,"Hinton Admiral",6
HNB,"Herne Bay",20
HND,Hanborough,12
HNH,"Herne Hill",55
HNT,Huntly,1
HOC,Hockley,2
HOH,"Harrow-on-the-Hill",10
HOK,Hook,10
HOL,"Holton Heath",2
HON,Honiton,8
HOR,Horley,45
HOU,Hounslow,27
HOV,Hove,17
HOW,Howden,4
HPA,"Honor Oak Park",20
HPD,Harpenden,39
HPL,Hartlepool,4
HPQ,"Harwich International",4
HRH,Horsham,36
HRM,Harrietsham,6
HRN,Hornsey,19
HRO,"Harold Wood",6
HRS,Horsforth,2
HRW,"Harrow & Wealdstone",60
HSK,Hassocks,14
HSL,Haslemere,19
HSY,Horsley,6
HTE,"Hatch End",2
HTN,"Hatton (Warks)",10
HUL,Hull,6
HUN,Huntingdon,61
HUR,"Hurst Green",11
HWC,"Harwich Town",2
HWM,"Harlow Mill",8
HWN,"Harlow Town",12
HWV,"Heathrow Terminal 5",2
HWY,"High Wycombe",26
HXX,"Heathrow Terminals 1-3",4
HYB,Honeybourne,10
HYH,"Hythe (Essex)",4
HYL,Hayle,2
HYM,Haymarket,23
HYR,"Haydons Road",9
HYS,"Hayes (Kent)",6
HYW,"Hinchley Wood",6
IFD,Ilford,36
IFI,Ifield,15
INK,Inverkeithing,11
INR,Inverurie,1
INS,Insch,1
INT,Ingatestone,17
INV,Inverness,4
IPS,Ipswich,6
ISL,Isleworth,14
ISP,Islip,2
IVR,Iver,4
IVY,Ivybridge,6
JEQ,"Jewellery Quarter",4
KBN,"Kilburn High Road",4
KBW,Knebworth,25
KBX,"Kirby Cross",2
KCK,Knockholt,10
KDB,Kidbrooke,21
KDG,Kidsgrove,6
KDY,Kirkcaldy,10
KEB,"Kenley - Kenley Hotel",1
KEH,Keith,1
KEI,Keighley,2
KEL,Kelvedon,17
KEM,Kemble,8
KET,Kettering,21
KEY,Keyham,1
KGL,"Kings Langley",12
KGM,Kingham,12
KGS,"Kings Sutton",9
KID,Kidderminster,2
KIN,Kingussie,4
KIT,Kintbury,5
KKM,"Kirkham & Wesham",2
KLN,"Kings Lynn",4
KLY,Kenley,4
KML,Kemsley,2
KMP,"Kempton Park",2
KMS,Kemsing,7
KND,Kingswood,4
KNG,Kingston,20
KNL,"Kensal Green",2
KNT,Kenton,2
KSN,Kearsney,3
KTH,"Kent House",11
KTN,"Kentish Town",97
KWB,"Kew Bridge",15
KWL,Kidwelly,2
KYN,Keynsham,3
LAC,Lancing,14
LAD,Ladywell,6
LAI,Laindon,11
LAN,Lancaster,17
LAU,Laurencekirk,5
LBK,"Long Buckby",24
LBO,"Loughborough (Leics)",15
LBZ,"Leighton Buzzard",13
LCN,"Lincoln Central",4
LDS,Leeds,10
LDY,Ladybank,11
LEA,Leagrave,21
LEB,"Lea Bridge",4
LED,Ledbury,2
LEE,Lee,25
LEH,"Lea Hall",3
LEI,Leicester,17
LEN,Lenham,6
LES,"Leigh-on-Sea",9
LET,Letchworth,43
LEU,Leuchars,8
LEW,Lewisham,69
LFD,Lingfield,8
LGE,"Long Eaton",7
LGF,Longfield,20
LGG,"Langley Green",1
LGJ,"Loughborough Junction",42
LGM,"Langley Mill",8
LHD,Leatherhead,16
