stop_id,stop_name,routes
TLS,"Thorpe-le-Soken",4
TMC,Templecombe,10
TOL,Tolworth,2
TOM,"Tottenham Hale",18
TON,Tonbridge,43
TOO,Tooting,9
TOT,Totnes,6
TPB,"Thorpe Bay",5
TQY,Torquay,2
TRI,Tring,56
TRO,Trowbridge,3
TRR,Torre,2
TRU,Truro,4
TTH,"Thornton Heath",29
TTN,Totton,8
TUH,"Tulse Hill",48
TUL,Tulloch,2
TUR,"Turkey Street",2
TVP,"Tiverton Parkway",12
TWI,Twickenham,39
TWY,Twyford,63
TYS,Tyseley,8
UCK,Uckfield,2
UHA,Uphall,2
UPH,"Upper Halliford",2
UPM,Upminster,15
UPW,Upwey,2
UTY,"Upper Tyndrum",2
UWL,"Upper Warlingham",12
VAL,Valley,2
VIR,"Virginia Water",30
WAD,Wadhurst,9
WAL,"Walton-on-Thames",22
WAM,Walmer,15
WAN,Wanborough,1
WAR,Ware,2
WAS,"Watton-at-Stone",5
WBC,Waterbeach,8
WBL,Warblington,3
WBO,"Wimbledon Chase",9
WBQ,"Warrington Bank Quay",22
WBY,"West Byfleet",19
WCB,"Westcombe Park",51
WCF,"Westcliff-on-Sea",7
WCH,"Whitchurch (Hants)",17
WCP,"Worcester Park",11
WCX,"Wembley Stadium",32
WCY,"West Croydon",22
WDO,Waddon,15
WDT,"West Drayton",7
WDU,"West Dulwich",10
WEA,"West Ealing",31
WEE,Weeley,4
WEH,"West Ham",13
WEL,Wellingborough,21
WES,Westerton,2
WEY,Weymouth,2
WFH,"Watford High Street",2
WFJ,"Watford Junction",60
WGA,"Westgate-on-Sea",13
WGC,"Welwyn Garden City",104
WGN,"Wigan North Western",21
WGR,"Woodgrange Park",2
WHA,Westenhanger,15
WHC,"Walthamstow Central",2
WHI,Whitstable,19
WHL,"White Hart Lane",4
WHM,Whimple,2
WHP,"West Hampstead Thameslink",86
WHR,"West Horndon",9
WHS,"Whyteleafe South",4
WHY,Whyteleafe,4
WIC,Wickford,4
WIH,"Winchmore Hill",13
WIJ,"Willesden Junction",60
WIM,Wimbledon,105
WIN,Winchester,18
WIV,Wivenhoe,4
WKF,"Wakefield Westgate",11
WKK,"Wakefield Kirkgate",4
WKM,Wokingham,2
WLC,"Waltham Cross",10
WLD,"West St Leonards",6
WLE,Whittlesea,19
WLF,"Whittlesford Parkway",8
WLI,Welling,21
WLN,"Wellington (Shropshire)",2
WLS,Woolston,3
WLT,Wallington,15
WLW,"Welwyn North",25
WMA,"West Malling",9
WMB,"Wembley Central",60
WMC,Wilmcote,2
WME,Woodmansterne,4
WMG,"Welham Green",3
WML,Wilmslow,2
WMN,Warminster,7
WMR,"Widney Manor",5
WND,Wendover,10
WNF,Winchfield,14
WNH,Warnham,2
WNM,"Weston Milton",4
WNR,"Windsor & Eton Riverside",2
WNS,Winnersh,2
WNT,"Wandsworth Town",24
WNW,"West Norwood",18
WNY,"White Notley",2
WOF,"Worcester Foregate Street",6
WOH,Woldingham,12
WOK,Woking,57
WOL,Wolverton,9
WON,"Walton-on-the-Naze",2
WOO,Wool,2
WOR,Worle,6
WOS,"Worcester Shrub Hill",8
WPL,Worplesdon,15
WRB,Wrabness,2
WRH,Worthing,17
WRM,Wareham,2
WRP,"Warwick Parkway",12
WRU,"West Ruislip",30
WRW,Warwick,10
WRX,"Wrexham General",2
WRY,Wraysbury,2
WSB,"Westbury (Wilts)",37
WSF,Winsford,24
WSH,Wishaw,2
WSM,"Weston-super-Mare",9
WST,"Wood Street",2
WSU,"West Sutton",9
WSW,"Wandsworth Common",22
WTG,Watlington,4
WTI,"Winnersh Triangle",2
WTM,"Witham (Essex)",24
WTN,Whitton,12
WTY,Witley,13
WVF,Wivelsfield,44
WVH,Wolverhampton,20
WWA,"Woolwich Arsenal",56
WWD,"Woolwich Dockyard",18
WWI,"West Wickham",6
WWO,"West Worthing",15
WWR,"Wandsworth Road",1
WYB,Weybridge,32
WYE,Wye,14
XTH,"STANSTED AIR BUS",2
YAT,Yatton,8
YRK,York,33
YRM,Yarm,4
YVJ,"Yeovil Junction",14
YVP,"Yeovil Pen Mill",10
ZFD,Farringdon,75
ZHD,"HILLINGDON UND",4
