Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Annan,ANN,2.0,390.0,218.5,VIRGIN WEST COAST,ANYTIME S,0.0
Anniesland,ANL,1.0,586.0,228.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ansdell & Fairhaven,AFV,2.0,315.0,109.5,VIRGIN WEST COAST,ANYTIME S,200.0
Apperley Bridge,APY,1.0,338.0,165.0,CROSSCOUNTRY,ANYTIME S,0.0
Appleby,APP,1.0,468.0,191.5,CROSSCOUNTRY,ANYTIME S,0.0
Appledore (Kent),APD,3.0,232.0,17.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,700.0
Appleford,APF,1.0,145.0,43.7,CROSSCOUNTRY,ANYTIME S,0.0
Appley Bridge,APB,1.0,361.0,131.1,CROSSCOUNTRY,ANYTIME S,700.0
Apsley,APS,2.0,162.0,63.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Arbroath,ARB,1.0,621.0,199.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardgay,ARD,2.0,853.0,228.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardlui,AUI,2.0,771.0,236.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Harbour,ADS,1.0,643.0,233.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan South Beach,ASB,2.0,481.0,233.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Town,ADN,1.0,641.0,233.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardwick,ADK,1.0,299.0,128.8,CROSSCOUNTRY,ANYTIME S,700.0
Argyle Street,AGS,2.0,424.0,223.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arisaig,ARG,2.0,1021.0,236.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arlesey,ARL,1.0,215.0,49.4,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Armadale (West Lothian),ARM,1.0,534.0,223.5,CROSSCOUNTRY,ANYTIME S,0.0
Armathwaite,AWT,1.0,496.0,138.5,VIRGIN WEST COAST,ANYTIME S,700.0
Arnside,ARN,1.0,372.0,119.0,VIRGIN WEST COAST,ANYTIME S,700.0
Arram,ARR,1.0,379.0,163.5,CROSSCOUNTRY,ANYTIME S,0.0
Arrochar & Tarbet,ART,2.0,757.0,236.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arundel,ARU,0.0,78.0,17.2,SOUTHERN,ANYTIME DAY S,947.0
Ascot (Berks),ACT,1.0,87.0,28.8,SOUTH WESTERN RAILWAY,ANYTIME DAY S,700.0
Ascott-under-Wychwood,AUW,1.0,120.0,50.6,GWR,ANYTIME DAY S,700.0
Ash,ASH,1.0,113.0,27.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ash Vale,AHV,1.0,70.0,27.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ashburys,ABY,1.0,282.0,128.8,CROSSCOUNTRY,ANYTIME S,700.0
Ashchurch for Tewkesbury,ASC,1.0,200.0,46.0,GWR,ANYTIME S,700.0
Ashfield,ASF,2.0,602.0,228.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ashford (Surrey),AFS,1.0,128.0,36.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,700.0
Ashford International,AFK,2.0,207.0,17.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,703.0
Ashford International (Eurostar),ASI,nan,nan,nan,N/A,no route found,-998.0
Ashley,ASY,1.0,290.0,137.2,CROSSCOUNTRY,ANYTIME S,700.0
Ashtead,AHD,1.0,123.0,17.2,SOUTHERN,ANYTIME DAY S,947.0
Ashton-under-Lyne,AHN,2.0,306.0,130.55,LONDON NORTH EASTERN RAILWAY,ANYTIME S,53.0
Ashurst (Kent),AHS,1.0,199.0,59.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ashurst New Forest,ANF,0.0,21.0,4.7,SOUTH WESTERN RAILWAY,ANYTIME DAY S,1000.0
Ashwell & Morden,AWM,2.0,217.0,57.5,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Askam,ASK,2.0,434.0,128.0,VIRGIN WEST COAST,ANYTIME S,700.0
Aslockton,ALK,2.0,316.0,107.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aspatria,ASP,2.0,382.0,142.0,VIRGIN WEST COAST,ANYTIME S,700.0
Aspley Guise,APG,2.0,203.0,82.0,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Aston,AST,1.0,179.0,94.75,CROSSCOUNTRY,ANYTIME S,700.0
Atherstone,ATH,1.0,257.0,97.45,VIRGIN WEST COAST,ANYTIME S,200.0
Atherton,ATN,2.0,292.0,131.1,CROSSCOUNTRY,ANYTIME S,700.0
Attadale,ATT,2.0,990.0,228.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Attenborough,ATB,1.0,235.0,104.05,EAST MIDLANDS TRAINS,ANYTIME S,200.0
Attleborough,ATL,2.0,369.0,116.9,GREATER ANGLIA,ANYTIME S,0.0
Auchinleck,AUK,2.0,455.0,233.0,VIRGIN WEST COAST,ANYTIME S,0.0
Audley End,AUD,2.0,229.0,52.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Aughton Park,AUG,2.0,334.0,64.5,CROSSCOUNTRY,ANYTIME S,700.0
Aviemore,AVM,1.0,715.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Avoncliff,AVF,1.0,106.0,23.7,GWR,ANYTIME DAY S,0.0
Avonmouth,AVN,1.0,151.0,35.5,GWR,ANYTIME S,700.0
Axminster,AXM,1.0,118.0,33.9,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Aylesbury,AYS,1.0,449.0,57.15,CHILTERN RAILWAYS,ANYTIME DAY S,200.0
Aylesbury Vale Parkway,AVP,2.0,223.0,57.15,CHILTERN RAILWAYS,ANYTIME DAY S,200.0
Aylesford,AYL,3.0,217.0,61.1,SOUTH WESTERN RAILWAY,ANYTIME DAY S,703.0
Aylesham,AYH,1.0,274.0,80.2,SOUTH WESTERN RAILWAY,ANYTIME DAY S,0.0
Ayr,AYR,2.0,472.0,233.0,VIRGIN WEST COAST,ANYTIME S,0.0
Bache,BAC,2.0,536.0,122.95,CROSSCOUNTRY,ANYTIME S,700.0
Baglan,BAJ,1.0,213.0,141.5,GWR,ANYTIME S,700.0
Bagshot,BAG,2.0,110.0,28.8,SOUTH WESTERN RAILWAY,ANYTIME DAY S,700.0
Baildon,BLD,2.0,369.0,169.0,CROSSCOUNTRY,ANYTIME S,0.0
Baillieston,BIO,2.0,455.0,223.5,VIRGIN WEST COAST,ANYTIME S,0.0
Balcombe,BAB,1.0,143.0,56.7,SOUTHERN,ANYTIME DAY S,0.0
Baldock,BDK,1.0,231.0,48.4,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Balham,BAL,1.0,95.0,31.6,SOUTHERN,ANYTIME DAY S,947.0
Balloch,BHC,2.0,643.0,228.0,VIRGIN WEST COAST,ANYTIME S,0.0
Balmossie,BSI,2.0,652.0,191.0,CROSSCOUNTRY,ANYTIME S,0.0
Bamber Bridge,BMB,2.0,334.0,108.0,VIRGIN WEST COAST,ANYTIME S,200.0
Bamford,BAM,1.0,365.0,131.1,EAST MIDLANDS TRAINS,ANYTIME S,129.0
Banavie,BNV,2.0,963.0,236.5,VIRGIN WEST COAST,ANYTIME S,0.0
Banbury,BAN,0.0,106.0,53.5,CROSSCOUNTRY,ANYTIME S,700.0
Bangor (Gwynedd),BNG,1.0,427.0,66.2,CROSSCOUNTRY,ANYTIME S,700.0
Bank Hall,BAH,3.0,328.0,128.8,CROSSCOUNTRY,ANYTIME S,700.0
Banstead,BAD,1.0,132.0,31.3,SOUTHERN,ANYTIME DAY S,947.0
