Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Andover,ADV,1.0,160.0,124.7,CROSSCOUNTRY,ANYTIME S,267.0
Anerley,ANZ,2.0,194.0,191.0,VIRGIN WEST COAST,ANYTIME S,0.0
Angel Road,AGR,2.0,149.0,167.0,VIRGIN WEST COAST,ANYTIME S,0.0
Angmering,ANG,1.0,253.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Annan,ANN,1.0,228.0,54.6,VIRGIN WEST COAST,ANYTIME S,317.0
Anniesland,ANL,1.0,274.0,76.3,VIRGIN WEST COAST,ANYTIME S,317.0
Ansdell & Fairhaven,AFV,1.0,159.0,19.2,NORTHERN,ANYTIME DAY S,317.0
Apperley Bridge,APY,1.0,165.0,41.7,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Appleby,APP,1.0,291.0,51.6,NORTHERN,ANYTIME DAY S,0.0
Appledore (Kent),APD,3.0,189.0,220.5,VIRGIN WEST COAST,ANYTIME S,0.0
Appleford,APF,1.0,393.0,80.95,VIRGIN WEST COAST,ANYTIME S,200.0
Appley Bridge,APB,2.0,128.0,10.4,NORTHERN,ANYTIME DAY S,327.0
Apsley,APS,0.0,122.0,62.0,VIRGIN WEST COAST,ANYTIME S,700.0
Arbroath,ARB,1.0,366.0,151.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardgay,ARD,2.0,651.0,205.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardlui,AUI,2.0,456.0,93.3,VIRGIN WEST COAST,ANYTIME S,317.0
Ardrossan Harbour,ADS,1.0,329.0,80.4,VIRGIN WEST COAST,ANYTIME S,317.0
Ardrossan South Beach,ASB,1.0,324.0,80.4,VIRGIN WEST COAST,ANYTIME S,317.0
Ardrossan Town,ADN,1.0,327.0,80.4,VIRGIN WEST COAST,ANYTIME S,317.0
Ardwick,ADK,1.0,111.0,15.0,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
Argyle Street,AGS,1.0,268.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arisaig,ARG,2.0,586.0,119.7,VIRGIN WEST COAST,ANYTIME S,317.0
Arlesey,ARL,1.0,163.0,186.0,VIRGIN WEST COAST,ANYTIME S,0.0
Armadale (West Lothian),ARM,1.0,308.0,132.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Armathwaite,AWT,1.0,322.0,49.0,VIRGIN WEST COAST,ANYTIME S,307.0
Arnside,ARN,1.0,158.0,25.4,NORTHERN,ANYTIME DAY S,317.0
Arram,ARR,1.0,206.0,67.8,TRANSPENNINE EXPRESS,ANYTIME DAY S,0.0
