Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Annan,ANN,1.0,302.0,193.0,VIRGIN WEST COAST,ANYTIME S,0.0
Anniesland,ANL,1.0,348.0,198.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ansdell & Fairhaven,AFV,1.0,233.0,178.0,VIRGIN WEST COAST,ANYTIME S,700.0
Apperley Bridge,APY,2.0,241.0,142.0,VIRGIN WEST COAST,ANYTIME S,0.0
Appleby,APP,1.0,365.0,164.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appledore (Kent),APD,2.0,227.0,45.8,LONDON SOUTH EASTERN RAILWY,ANYTIME DAY S,0.0
Appleford,APF,2.0,126.0,49.1,GWR,ANYTIME DAY S,200.0
Appley Bridge,APB,3.0,179.0,162.5,VIRGIN WEST COAST,ANYTIME S,200.0
Apsley,APS,0.0,7.0,6.1,WEST MIDLANDS TRAINS,ANYTIME DAY S,0.0
Arbroath,ARB,2.0,470.0,183.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardgay,ARD,2.0,686.0,199.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardlui,AUI,2.0,444.0,204.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Harbour,ADS,1.0,403.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan South Beach,ASB,1.0,398.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Town,ADN,1.0,401.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ardwick,ADK,1.0,137.0,175.0,VIRGIN WEST COAST,ANYTIME S,700.0
Argyle Street,AGS,1.0,341.0,193.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arisaig,ARG,2.0,652.0,221.5,VIRGIN WEST COAST,ANYTIME S,700.0
Arlesey,ARL,2.0,96.0,33.2,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Armadale (West Lothian),ARM,1.0,383.0,193.5,VIRGIN WEST COAST,ANYTIME S,0.0
Armathwaite,AWT,1.0,337.0,171.0,VIRGIN WEST COAST,ANYTIME S,700.0
Arnside,ARN,1.0,232.0,165.5,VIRGIN WEST COAST,ANYTIME S,700.0
Arram,ARR,3.0,279.0,139.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arrochar & Tarbet,ART,2.0,430.0,204.5,VIRGIN WEST COAST,ANYTIME S,0.0
