Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Annan,ANN,3.0,322.0,196.5,VIRGIN WEST COAST,ANYTIME S,0.0
Anniesland,ANL,3.0,393.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ansdell & Fairhaven,AFV,3.0,305.0,202.5,VIRGIN WEST COAST,ANYTIME S,0.0
Apperley Bridge,APY,3.0,250.0,146.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appleby,APP,3.0,380.0,169.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appledore (Kent),APD,3.0,97.0,43.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Appleford,APF,2.0,180.0,49.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Appley Bridge,APB,4.0,234.0,187.0,VIRGIN WEST COAST,ANYTIME S,0.0
Apsley,APS,2.0,112.0,26.0,GREATER ANGLIA,ANYTIME DAY S,200.0
Arbroath,ARB,2.0,465.0,185.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardgay,ARD,3.0,649.0,209.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ardlui,AUI,4.0,523.0,210.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Harbour,ADS,3.0,420.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan South Beach,ASB,3.0,413.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardrossan Town,ADN,3.0,406.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ardwick,ADK,3.0,237.0,200.0,VIRGIN WEST COAST,ANYTIME S,0.0
Argyle Street,AGS,3.0,372.0,199.0,VIRGIN WEST COAST,ANYTIME S,0.0
Arisaig,ARG,4.0,725.0,236.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arlesey,ARL,2.0,120.0,35.0,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Armadale (West Lothian),ARM,3.0,440.0,204.0,VIRGIN WEST COAST,ANYTIME S,0.0
Armathwaite,AWT,3.0,308.0,195.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arnside,ARN,3.0,306.0,186.5,VIRGIN WEST COAST,ANYTIME S,0.0
Arram,ARR,3.0,292.0,145.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arrochar & Tarbet,ART,4.0,504.0,210.0,VIRGIN WEST COAST,ANYTIME S,0.0
Arundel,ARU,2.0,190.0,49.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Ascot (Berks),ACT,2.0,144.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Ascott-under-Wychwood,AUW,3.0,199.0,48.0,GWR,ANYTIME S,0.0
Ash,ASH,3.0,151.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Ash Vale,AHV,2.0,147.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Ashburys,ABY,3.0,237.0,200.0,VIRGIN WEST COAST,ANYTIME S,0.0
Ashchurch for Tewkesbury,ASC,2.0,230.0,117.0,GWR,ANYTIME S,0.0
Ashfield,ASF,4.0,405.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashford (Surrey),AFS,2.0,133.0,26.0,GREATER ANGLIA,ANYTIME DAY S,200.0
Ashford International,AFK,2.0,78.0,43.1,LONDON SOUTH EASTERN RAILWY,ANYTIME DAY S,0.0
Ashford International (Eurostar),ASI,nan,nan,nan,N/A,no route found,-998.0
Ashley,ASY,3.0,225.0,204.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashtead,AHD,2.0,149.0,26.0,GREATER ANGLIA,ANYTIME DAY S,200.0
Ashton-under-Lyne,AHN,4.0,268.0,204.5,VIRGIN WEST COAST,ANYTIME S,0.0
Ashurst (Kent),AHS,2.0,146.0,26.0,GREATER ANGLIA,ANYTIME DAY S,200.0
Ashurst New Forest,ANF,2.0,204.0,52.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Ashwell & Morden,AWM,2.0,145.0,39.1,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Askam,ASK,3.0,361.0,197.0,VIRGIN WEST COAST,ANYTIME S,0.0
Aslockton,ALK,2.0,296.0,86.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aspatria,ASP,3.0,363.0,221.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aspley Guise,APG,3.0,163.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Aston,AST,3.0,210.0,109.5,VIRGIN WEST COAST,ANYTIME S,0.0
Atherstone,ATH,2.0,165.0,97.0,VIRGIN WEST COAST,ANYTIME S,0.0
Atherton,ATN,3.0,225.0,187.0,VIRGIN WEST COAST,ANYTIME S,0.0
Attadale,ATT,4.0,792.0,209.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Attenborough,ATB,3.0,240.0,112.7,EAST MIDLANDS TRAINS,ANYTIME S,0.0
Attleborough,ATL,1.0,133.0,44.7,GREATER ANGLIA,ANYTIME S,74.0
Auchinleck,AUK,3.0,387.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Audley End,AUD,1.0,114.0,40.4,GREATER ANGLIA,ANYTIME DAY S,0.0
Aughton Park,AUG,4.0,282.0,185.5,VIRGIN WEST COAST,ANYTIME S,0.0
Aviemore,AVM,2.0,512.0,189.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Avoncliff,AVF,3.0,219.0,115.0,GWR,ANYTIME S,0.0
Avonmouth,AVN,3.0,258.0,121.5,GWR,ANYTIME S,0.0
Axminster,AXM,2.0,247.0,79.1,GREATER ANGLIA,ANYTIME DAY S,0.0
Aylesbury,AYS,2.0,151.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Aylesbury Vale Parkway,AVP,2.0,168.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Aylesford,AYL,3.0,102.0,32.7,GREATER ANGLIA,ANYTIME DAY S,0.0
Aylesham,AYH,2.0,206.0,43.8,GREATER ANGLIA,ANYTIME DAY S,0.0
Ayr,AYR,3.0,441.0,209.0,VIRGIN WEST COAST,ANYTIME S,0.0
Bache,BAC,3.0,570.0,169.0,VIRGIN WEST COAST,ANYTIME S,0.0
Baglan,BAJ,3.0,270.0,132.0,GWR,ANYTIME S,0.0
Bagshot,BAG,2.0,150.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Baildon,BLD,4.0,251.0,149.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Baillieston,BIO,3.0,430.0,199.0,VIRGIN WEST COAST,ANYTIME S,0.0
Balcombe,BAB,2.0,121.0,36.6,GREATER ANGLIA,ANYTIME DAY S,0.0
Baldock,BDK,2.0,121.0,31.9,THAMESLINK AND GT NORTHERN TL,ANYTIME DAY S,0.0
Balham,BAL,2.0,349.0,20.4,GREATER ANGLIA,ANYTIME DAY S,0.0
Balloch,BHC,4.0,447.0,203.5,VIRGIN WEST COAST,ANYTIME S,0.0
Balmossie,BSI,3.0,587.0,179.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Bamber Bridge,BMB,3.0,251.0,202.5,VIRGIN WEST COAST,ANYTIME S,0.0
