Name,Code,Changes,Time,Fare,Company,Fare Type,Route Code
Angel Road,AGR,2.0,329.0,161.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Angmering,ANG,2.0,417.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Annan,ANN,1.0,135.0,75.5,TRANSPENNINE EXPRESS,ANYTIME S,0.0
Anniesland,ANL,0.0,92.0,15.7,SCOTRAIL,ANYTIME DAY S,0.0
Ansdell & Fairhaven,AFV,1.0,188.0,127.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Apperley Bridge,APY,1.0,206.0,116.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appleby,APP,1.0,168.0,68.4,TRANSPENNINE EXPRESS,ANYTIME S,275.0
Appledore (Kent),APD,3.0,377.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Appleford,APF,1.0,454.0,174.5,CROSSCOUNTRY,ANYTIME S,0.0
Appley Bridge,APB,2.0,188.0,127.5,VIRGIN WEST COAST,ANYTIME S,0.0
Apsley,APS,1.0,379.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arbroath,ARB,0.0,116.0,23.2,SCOTRAIL,ANYTIME S,0.0
Ardgay,ARD,1.0,402.0,95.5,SCOTRAIL,ANYTIME DAY S,0.0
Ardlui,AUI,1.0,167.0,33.1,SCOTRAIL,ANYTIME DAY S,0.0
Ardrossan Harbour,ADS,1.0,165.0,19.7,SCOTRAIL,ANYTIME DAY S,0.0
Ardrossan South Beach,ASB,2.0,130.0,19.7,SCOTRAIL,ANYTIME DAY S,0.0
Ardrossan Town,ADN,1.0,163.0,19.7,SCOTRAIL,ANYTIME DAY S,0.0
Ardwick,ADK,1.0,233.0,76.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,95.0
Argyle Street,AGS,1.0,83.0,15.5,SCOTRAIL,ANYTIME DAY S,0.0
Arisaig,ARG,1.0,380.0,68.0,SCOTRAIL,ANYTIME DAY S,0.0
Arlesey,ARL,1.0,289.0,150.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Armadale (West Lothian),ARM,0.0,35.0,8.0,SCOTRAIL,ANYTIME DAY S,1000.0
Armathwaite,AWT,1.0,140.0,59.7,TRANSPENNINE EXPRESS,ANYTIME S,0.0
Arnside,ARN,1.0,187.0,68.4,TRANSPENNINE EXPRESS,ANYTIME S,0.0
Arram,ARR,1.0,375.0,124.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Arrochar & Tarbet,ART,1.0,153.0,33.1,SCOTRAIL,ANYTIME DAY S,0.0
Arundel,ARU,2.0,395.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ascot (Berks),ACT,1.0,504.0,167.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ascott-under-Wychwood,AUW,3.0,517.0,168.45,CROSSCOUNTRY,ANYTIME S,0.0
Ash,ASH,1.0,524.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ash Vale,AHV,2.0,372.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ashburys,ABY,1.0,223.0,76.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,95.0
Ashchurch for Tewkesbury,ASC,1.0,491.0,176.8,CROSSCOUNTRY,ANYTIME S,700.0
Ashfield,ASF,1.0,88.0,15.7,SCOTRAIL,ANYTIME DAY S,0.0
Ashford (Surrey),AFS,2.0,340.0,164.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ashford International,AFK,2.0,354.0,174.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ashford International (Eurostar),ASI,nan,nan,nan,N/A,no route found,-998.0
Ashley,ASY,1.0,285.0,71.0,VIRGIN WEST COAST,ANYTIME S,275.0
Ashtead,AHD,2.0,373.0,164.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ashton-under-Lyne,AHN,1.0,224.0,68.5,VIRGIN WEST COAST,ANYTIME S,275.0
Ashurst (Kent),AHS,2.0,382.0,166.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ashurst New Forest,ANF,1.0,573.0,181.0,CROSSCOUNTRY,ANYTIME S,0.0
Ashwell & Morden,AWM,1.0,320.0,152.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Askam,ASK,1.0,280.0,71.0,VIRGIN WEST COAST,ANYTIME S,307.0
Aslockton,ALK,1.0,347.0,142.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aspatria,ASP,1.0,160.0,72.1,TRANSPENNINE EXPRESS,ANYTIME S,275.0
Aspley Guise,APG,2.0,360.0,161.5,VIRGIN WEST COAST,ANYTIME S,700.0
Aston,AST,1.0,270.0,126.55,CROSSCOUNTRY,ANYTIME S,0.0
Atherstone,ATH,1.0,335.0,136.5,VIRGIN WEST COAST,ANYTIME S,0.0
Atherton,ATN,2.0,199.0,127.5,VIRGIN WEST COAST,ANYTIME S,0.0
Attadale,ATT,1.0,395.0,103.9,SCOTRAIL,ANYTIME DAY S,0.0
Attenborough,ATB,1.0,334.0,150.8,CROSSCOUNTRY,ANYTIME S,0.0
Attleborough,ATL,1.0,365.0,157.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,700.0
Auchinleck,AUK,1.0,162.0,19.7,SCOTRAIL,ANYTIME DAY S,0.0
Audley End,AUD,1.0,333.0,172.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aughton Park,AUG,2.0,231.0,71.0,VIRGIN WEST COAST,ANYTIME S,275.0
Aviemore,AVM,0.0,176.0,42.0,SCOTRAIL,ANYTIME S,0.0
Avoncliff,AVF,2.0,431.0,202.9,CROSSCOUNTRY,ANYTIME S,700.0
Avonmouth,AVN,2.0,455.0,205.8,CROSSCOUNTRY,ANYTIME S,700.0
Axminster,AXM,1.0,572.0,200.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Aylesbury,AYS,1.0,772.0,170.0,CROSSCOUNTRY,ANYTIME S,0.0
Aylesbury Vale Parkway,AVP,2.0,421.0,170.0,CROSSCOUNTRY,ANYTIME S,0.0
Aylesford,AYL,3.0,363.0,170.0,LONDON NORTH EASTERN RAILWAY,ANYTIME S,200.0
Aylesham,AYH,3.0,407.0,176.5,LONDON NORTH EASTERN RAILWAY,ANYTIME S,0.0
Ayr,AYR,1.0,156.0,19.7,SCOTRAIL,ANYTIME DAY S,0.0
